name,address
"Hot Spicy Spicy","173, Ravel Road, North York, ON"
"tuanzhang",""
"cross-the-bridge noodle",""
"Ko-Sam",""
"Marlowe Restaurant & Wine Bar","155, York Boulevard"
"Jack Astor's","York Boulevard"
"Bombay Bhel","230, Commerce Valley Drive East, Thornhill, on, L3T 7Y3"
"Baton Rouge",""
"Host Fine Indian Cuisine",""
"Moxie's","159, York Boulevard"
"Congee Queen",""
"KIKU Japanese Cuisine",""
"CHAKO","163, York Boulevard, Richmond Hill, L4B 4A7"
"Caffe Demetre","100, York Boulevard, Richmond Hill, L4B 1J8"
"Dragon Boat Fusion Cuisine",""
"Chongqing Liyuahu Hotpot",""
"Lone Star Texas Grill",""
"Scaddabush",""
"Dayali","160, York Boulevard"
"Novità Italian Cuisine",""
"Touro Brazilian Steakhouse",""
"Hana Don","9255, Woodbine Avenue, Markham, Ontario, L6C 1Y9"
"Mr. Greek","861, York Mills Road, North York"
"Pizza Hut","861, York Mills Road, North York"
"Kiku",""
"Big Smoke Burger","799, York Mills Road, North York"
"Darband","879, York Mills Road, North York, M3B 1Y5"
"Windfields Restaurant",""
"Freshii","861, York Mills Road, North York"
"Captain's Boil","865, York Mills Road, North York"
"Via Cibo",""
"Gilaneh","900, York Mills Road, North York, M3B 3H2"
"Robo Sushi","865, York Mills Road, North York, M3B 1Y6"
"Me Va Me",""
"Dragon Pearl",""
"Thai one on",""
"Casa Manila",""
"Dim Sum Kwan",""
"Cucina Di Paisano","856, York Mills Road, North York, ON, M3B 1Y6"
"Taftan Kebob","856, York Mills Road, North York, ON, M3B 1Y6"
"David Duncan House",""
"Tekka Sushi",""
"Saigon Express Pho",""
"Viva Shawarma",""
"India Waale",""
"St. Louis Bar & Grill","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Hana Don Japanese Cuisine and Bar","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Moxie's","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Heart Sushi","1800, Sheppard Avenue East, North York, ON, M2J 5A7"
"Grass Mountain Villa Seafood",""
"Hickory House Restaurant",""
"Tasty BBQ Seafood Restaurant","3555, Don Mills Road"
"Mizuki Sushi",""
"Deer Garden Signatures",""
"3A Noodle",""
"Pizza Hut","3555, Don Mills Road, North York"
"Sam's Congee Delight",""
"Gold Mark Chinese Restaurant",""
"Anju Korean Kitchen",""
"Makirrito",""
"Carmelina Restaurant",""
"Phoenix Restaurant","7155, Woodbine Avenue, Markham, L3R 1A3"
"Gyubee Japanese Grill","7100, Woodbine Avenue, Markham, L3R 5J2"
"Oshio Japanese Restaurant",""
"Lobster Port Restaurant",""
"QJD Peking Duck",""
"Taro Fish",""
"Lucky Seafood House",""
"Cravins Caribbean Grill",""
"Ritzy Palace Chinese Cuisine",""
"Hattendo 八天堂",""
"吃货部落新派火锅 。鱼市场 Gourmet Tribe",""
"GolfWing",""
"Diana's Oyster Bar & Grill",""
"Zen Japanese Restaurant",""
"Swiss Chalet","Markham"
"Golden Palace Banquet Hall","3225, Highway 7, Markham, Ontario, L3R 3P3"
"Bingz Crispy Burger","3229, Highway 7, Markham, Ontario, L3R 3P3"
"Yunshang Rice Noodle","3229, Highway 7, Markham, ON, L3R 3P3"
"Kaka All You Can Eat",""
"A La Kitchen",""
"Kitchen ALA",""
"Syogun Sushi Bar",""
"Skyview Fusion Cuisine",""
"Shanghai Shiknmen Fine Cuisine",""
"Gyumanor Japanese BBQ","3229, Highway 7, Markham, Ontario, L3R 3P3"
"The Owl of Minerva","3229, Highway 7 East, Markham, Ontario, L3R 3P3"
"Wei's Kitchen",""
"Mei Nung Beef Noodle House",""
"Sugar Marmalade","3255, Highway 7 East"
"Mabu Generation","3225, Highway 7"
"Tracy Dessert",""
"Ding Tai Fung",""
"Brown Donkatsu","3235, Highway 7, Markham, Ontario, L3R 3P3"
"Taste of Guang Xi","3235, Highway 7, Markham, Ontario, L3R 3P3"
"Flaming Kitchen",""
"One Shot BBQ","3235, Highway 7, Markham, Ontario, L3R 3P3"
"Green Tea Restaurant",""
"Cho San Sushi","8374, Woodbine Avenue, Markham, M4L 3P1"
"Koke Teppanyaki",""
"Jin's Mi Fen",""
"Providential 9",""
"Dragon Legend",""
"Kelsey's","3131, Highway 7"
"Pho Pad Thai",""
"Mi-Ne Sushi",""
"The Pho Restaurant",""
"Bento Sushi",""
"Sunset Grill",""
"Woodstone Eatery",""
"Dickens Restaurant",""
"Win's Seafood Restaurant","50, Lockridge Avenue, Markham, ON, L3R 7R6"
"Friendship Restaurant",""
"Umami House","2038, Sheppard Avenue East"
"Lara's Restaurant",""
"Esquire Restaurant",""
"Great Eastern",""
"My Place",""
"Aoyama Sushi",""
"Lavash Armenian Restaurant","2746, Victoria Park Avenue"
"Sozo Japanese Cuisine","233, Consumers Road, North York, Ontario, M2J 0E9"
"Omni Palace","235, Consumers Road, North York, Ontario"
"Yan Yu Chinese Dining","237, Consumers Road, Toronto, Ontario, M2J 0E9"
"Hotpot 9","241, Consumers Road, North York, Ontario"
"Satay Sate","12, William Sylvester Drive, Toronto, Ontario, M2J 0E9"
"Gyu-Kaku Japanese BBQ","153, Yorkland Boulevard, North York, Ontario, M2J 0E9"
"Primo Veal","151, Yorkland Boulevard, North York, Ontario"
"ZenQ Taiwanese Restaurant","155, Yorkland Boulevard, North York, Ontario, M2J 0E9"
"Flamin' Frost",""
"Rosemary & Thyme",""
"Buk Chang Dong Soon Tofu",""
"Chuck E. Cheese",""
"Aladdin Shawarma House",""
"Konak Turkish Cuisine",""
"Tagpuan Toronto",""
"Noodle Delight",""
"Captain's Catch","2111, Sheppard Avenue East, North York, ON"
"紫京盛宴",""
"Xin Jiang Barbeque Restaurant","3330, Pharmacy Avenue, Toronto"
"Kachiguda Junction","2398, Finch Avenue East"
"Litsea Cuisine",""
"Phoenix Club","3628, Victoria Park Avenue"
"Pepper Meets Pepper Hunan Cuisine","3618, Victoria Park Avenue"
"Dilli Wala",""
"Lahmajoun Factory",""
"Metro Square Café Restaurant","3636, Steeles Avenue East, Markham, ON, L3R 1K9"
"Ajisen Ramen","7010, Warden Avenue, Markham"
"Pho 88",""
"Chinese Dumpling House","L3R 1K9"
"Xin Jiang Restaurant",""
"Keung's Delight","7030, Warden Avenue, Markham, Ontario, L3B 5Y2"
"Sam Woo BBQ","375, Bamburgh Circle, Scarborough, M1W 3Y1"
"Maki Momo","395, Bamburgh Circle, Scarborough, M1W 3Y1"
"Good Taste Casserole Rice","325, Bamburgh Circle, Scarborough, M1W 3Y1"
"Jeon Ju Hyang Restaurant","325, Bamburgh Circle, Scarborough, M1W 3Y1"
"Crown Jewel Fine Dining","325, Bamburgh Circle, Scarborough, M1W 3Y1"
"Indias Taste",""
"Dayali Beijing Roast Duck","20, Gibson Drive, Markham, L3R 8B5"
"Yunshang Rice Noodle","7060, Warden Avenue, Markham, ON, L3B 5V1"
"KIN KIN O-Ka-Ne by Oo-Kinza Fish House",""
"Fortune Stone Restaurant",""
"Sakura Sushi",""
"Du Hsiao Yueh","7040, Warden Avenue, Markham, Ontario, L3R 5Y3"
"Momo Koko","7050, Warden Avenue, Markham, Ontario"
"BAO EXPRESS",""
"Dagu Rice Noodle Markham",""
"JIYU Thai Seafood Hot Pot",""
"Yin Ji Chang Fen (Rice Noodle Roll)",""
"Whole Sheep Feast Restaurant",""
"MeetR1ice Noodle",""
"Fish Soup for You",""
"Wagyu Sushi",""
"Tai Ping Hsiang B.B.Q.",""
"Cheng Man Xiang Noodle House",""
"Happy Fishman",""
"Hongming BBQ",""
"New Century Restaurant",""
"名門金宴","4125, Steeles Avenue East, Scarborough, Ontario"
"Boston Pizza","Warden Avenue, Markham, Ontario"
"Milestones","169, Enterprise Boulevard, Markham, ON, L6G 0E7"
"Kiu Japanese Restaurant","169, Enterprise Boulevard, Markham, ON, L6G 0E7"
"Good Catch Boil House",""
"go for tea",""
"Terre Rouge","162, Enterprise Boulevard, Markham, ON, L6G 0A2"
"Demetres Downtown Markham","180, Enterprise Boulevard, Markham, ON, L6G 0G4"
"Draco Restaurant + Bar",""
"Ruth's Chris Steak House",""
"St. Louis Bar & Grill","3621, Highway 7, Markham, ON, L3R 0G6"
"Gal's Sushi","3621, Highway 7, Markham, ON, L3R 0G6"
"Casa Victoria Fine Dining and Banquet","4-8601, Warden Avenue, Markham, L3R 0B5"
"Wonton Hut","3760, Highway 7, Markham, L3R 0N2"
"Cora","3760, Highway 7, Markham, L3R 0N2"
"Lanna Cuisine","170, Enterprise Boulevard, Markham, ON, L6G 0A2"
"Chloe’s Garden Restaurant 荔園餐廳","3621, Highway 7, Markham, ON, L3R 0G6"
"Xiang Zi",""
"Sansotei Ramen",""
"China Cottage",""
"Mamajoun","209, Ellesmere Road"
"Gabby's",""
"Chris Jerk","2570, Birchmount Road, Scarborough, Ontario"
"Remezzo",""
"Red Lobster",""
"Crystal Buffet",""
"Mexico Lindo",""
"Fortune House Restaurant","2598, Birchmount Road, Scarborough, M1T 2M5"
"Hunter's Pizza & Souvlaki House","2574, Birchmount Road, Scarborough, M1T 2M5"
"Bong Lua",""
"Mr. Congee Chinese Cuisine","2900, Warden Avenue, Scarborough, ON, M1W 2S8"
"Yamamoto Japanese Cuisine","M1W 1S8"
"Pho Quinn",""
"Shanghai Frozen Dim Sum","2551, Warden Avenue"
"Happy Lamb Hot Pot",""
"Jikoni Grill","2535, Warden Avenue"
"Nantha",""
"Fisherman Lobster King",""
"Pit Stop Tropical Restaurant",""
"Fishmen Wharf Seafood",""
"Ming's Noodle Cafe",""
"Kim Vo Vietnamese Restaurant",""
"S'en Vietnamese Cuisine",""
"Oishiii Sweets Cafe",""
"Chef 88 Oriental Cuisine",""
"Nichiban Sushi 4 U",""
"The Owl of Minerva",""
"Graceful Vegetarian","4675, Steeles Avenue East, M1V 0B7"
"Chef 88 Fine Dining 百樂軒海鮮酒家","1661, Denison Street, Markham, Ontario, L3R 6E4"
"Happy BBQ","7750, Kennedy Road, Markham, L3R 0A7"
"Noble Seafood Chinese Cuisine",""
"Lucky Noodle",""
"Cafe Hollywood","Markham"
"Pho Dac Biet Vietnamese Restaurant",""
"Jake's on Main","202, Main Street Unionville, L3R 2G9"
"Old Country Inn Restaurant",""
"Mom's Pan-Fried Bun 老娘水煎包",""
"The Unionville Arms","189, Main Street Unionville, Unionville, L3R 2G8"
"Blacksmith's Bistro","166, Main Street Unionville, L3R 2G9"
"Next Door Restaurant","139, Main Street Unionville, L3R 2G6"
"Ambiyan Restaurant & Bar","149, Main Street Unionville, Markham, L3R 2G8"
"Chat Bar 九号小院","187, Main Street Unionville, L3R 2G8"
"Il Postino Ristorante","186, Main Street Unionville, L3R 2G9"
"Boosters On Main",""
"Kore Chicken","10, South Unionville Avenue, L3R 4P9"
"Mr. Chin",""
"Mr. Jerk",""
"Hibiki",""
"Olde Village Bistro",""
"nam2 Vietnamese",""
"Manna Kitchen 瑪娜廚房",""
"Mr. Congee 龍粥記",""
"Sushi Tenon Vegetarian Cuisine",""
"Top Choice Restaurant 阿一小廚",""
"Bowl Kee Restaurant 煲仔記",""
"NKS Banquet Hall 帝寶名宴",""
"Ajisen Ramen",""
"Keung's Restaurant 强記雞粥",""
"Yunshang Rice Noodle",""
"Yang's Braised Chicken Rice 杨铭宇黄焖鸡米饭",""
"369 Shanghai Dim Sum",""
"New City Restaurant 新城市餐廳",""
"Good Taste Casserole Rice 知味煲仔饭",""
"Blue Ocean Cafe 藍海餐廳",""
"Sweet Culture 架勢堂",""
"Eat With Fun Roast 明惠燒臘茶餐廳",""
"Ming's Restaurant 大明港式茶餐廳",""
"广州西关食堂",""
"Little Jakarta",""
"Big Beef Bowl 牛大碗",""
"Les Chateaux Restaurant 雅閣餐廳",""
"Amazing Seafood House",""
"King of Wings",""
"Meet Fresh","28, South Unionville Avenue, Markham, Ontario, L3R 4P9"
"Garden Hong Kong Cafe","28, South Unionville Avenue, Markham, Ontario, L3R 4P9"
"Il Postino Ristorante",""
"Unionville Arms",""
"Jake's On Main",""
"La Grotta",""
"Chinese Hut",""
"Mughal Darbar","1885, Kennedy Road, M1P 2L9"
"Gibbos",""
"Shot House Bar & Grill",""
"Mishka’s Restaurant & Bar","880, Ellesmere Road"
"Hana Ramen","1891, Kennedy Road, M1P 2L9"
"Pizza Hut","592, Ellesmere Road, Scarborough"
"Wild Wing","11, William Kitchen Road, Scarborough"
"Kerala Kitchen",""
"The Royal Chinese Restaurant",""
"Kub Khao Thai Eatery",""
"Congee Queen","3850, Sheppard Avenue East, Scarborough, M1T 3L4"
"Nando's","15, William Kitchen Road"
"Dosa Boyz / Hakka Boyz","35, William Kitchen Road, Scarborough, Ontario, M1P 5B7"
"Kabob Guys","4045, Sheppard Avenue East, M1S 1S8"
"Yunshang Rice Noodle","4186, Finch Avenue East, Scarborough, ON, M1S 3V1"
"Vietnam Noodle Star",""
"Health Gourmet","3278, Midland Avenue, M1V 0C9"
"Made in China Café",""
"Korean Grill House",""
"Mashengligong 麻省理功","Toronto, M1V 0C5"
"Baozi Lin","4188, Finch Avenue East, M1S 5E7"
"Flaming Kitchen","3250, Midland Avenue, Scarborough, Ontario, M1V 0C4"
"Aroma Delight Palace","3250, Midland Avenue, M1V 4A1"
"Yuloudong","M1V 0C4"
"North East BBQ","4186, Finch Avenue East, M1S 3V1"
"Pho Vietnam Family Restaurant",""
"Kung Fu Duck","3270, Midland Avenue"
"Qing Feng Bun","3278, Midland Avenue"
"Yunnan Steam Fish Pot Restaurant","3280, Midland Avenue, M1V 0C7"
"Beijing Restaurant","3278, Midland Avenue"
"a! Xiang Noodle","Midland Avenue, Scarborough, M1V 0C5"
"DM Chicken","3250, Midland Avenue, Scarborough, M1V 0C7"
"Harbin BBQ","3278, Midland Avenue, Scarborough, M1V 0C9"
"Mr Six Fried Chicken","3250, Midland Avenue, Scarborough, M1V 0C7"
"Shananxi Legend","3278, Midland Avenue, Scarborough, M1V 4W9"
"Fishman Lobster Clubhouse Restaurant",""
"N/A","3290, Midland Avenue, M1V3Z9"
"Chungchun Rice Dog Scarborough",""
"Chungchun Rice Dog Scarborough","350, Midland Avenue, M1V 0C7"
"chako",""
"Sing Viet Thai",""
"Lobster House",""
"Daldongnae","4771, Steeles Avenue East, Scarborough, ON"
"Gyubee Japanese Grill","3720, Midland Avenue, Scarborough, Ontario, M1V 5L3"
"Happy Valley Village","3700, Midland Avenue, Toronto, Ontario, M1B 0B4"
"Ajisen Ramen Scarborough","3720, Midland Avenue, Toronto, Ontario, M1V 0G3"
"Hey Noodles (Scarborough)","3700, Midland Avenue, Toronto, Ontario, M1B 0B4"
"Sudden Summer Cafe","3700, Midland Avenue, Toronto, Ontario, M1B 0B3"
"Daimaru Shabu Shabu (Scarborough)","390, Silver Star Boulevard, Toronto, ON, M1V 0E3"
"La Pho Vietnamese Restaurant","390, Silver Star Boulevard, Toronto, ON, M1V 0E3"
"PanPan Noodle Bar","390, Silver Star Boulevard, Toronto, ON, M1V 0E3"
"Lucky Ace BBQ","390, Silver Star Boulevard, Toronto, ON, M1V 0E3"
"One Plus One BBQ","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"Jiangnan Handmade Dim Sum","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"Hunan Style Restaurant","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"AKA-ONI Ramen&Izakaya (Scarborough)","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"Deer Garden Signatures Scarborough","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"Gyu Hito Japanese BBQ Restaurant","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"I'm a little hot crab","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"Ho Ban Korean Restaurant","633, Silver Star Boulevard, Toronto, ON, M1V 5N1"
"Midori Ramen",""
"Swiss Chalet","5070, Highway 7, Markham, Ontario, L3R 4M9"
"Pizza Hut","5071, Highway 7, Markham, Ontario, L3R 1N3"
"Ithaca Restaurant",""
"Congee Queen Resturant",""
"All Stars Steak House",""
"Kitchen M.",""
"Pho 99",""
"Joey",""
"Pho Quinn Authentic Vietnamese Cuisine","5384, Highway 7, Markham, Ontario, L3P 1B9"
"Yin Ji Chang Fen",""
"Fu Kee Bao Dim",""
"Phoenix Restaurant","1, Raymerville Drive, Markham, Ontario, L3P 5J5"
"Kairali","1210, Kennedy Road, Scarborough, M1P 2L1"
"Karaikudi Chettinad South Indian Restaurant",""
"Laguna Bay",""
"Lucky Indian Style Chinese Food","2650, Lawrence Avenue East, Scarborough"
"Niji Sushi",""
"Kathy's Grill","1158, Kennedy Road, M1P 2L1"
"Flippers Fish House",""
"Kim Kim",""
"Supreme Restaurant & Bar",""
"Roll N Bowl Korean & Japanese Cuisine","1157, Ellesmere Road, Scarborough, Ontario, M1P2X6"
"Kaka",""
"Kaka Restaurant",""
"Asian Legend",""
"Jesse Jr. Restaurant",""
"Oriental Kitchen",""
"The Pearl of Asia",""
"Oxland Restaurant",""
"May Yan Seafood Restaurant 陸福海鮮酒家","4227, Sheppard Avenue East, Scarborough, Ontario, M1S 5H5"
"Green Bamboo Vietnamese Cuisine",""
"The Only Cuisine",""
"Dumpling Restaurant","Sheppard Avenue East, Toronto, Ontario"
"Gourmet Malaysia Restaurant","4466, Sheppard Avenue East, M1S 1V2"
"Perfect Chinese Restaurant",""
"East court & Mike BBQ","4400, Sheppard Avenue East, Scarborough, Ontario, M1S 5H9"
"desimane","4445, Sheppard Avenue East, Scarborough, ON, M1S 1V3"
"King's Vegetarian Food","Sheppard Avenue East, Toronto, Ontario"
"Unplugged Cafe & Bar","4271, Sheppard Avenue East, Toronto, ontario, M1S 1T6"
"N/A","8, Glen Watford Drive, M1S2C1"
"N/A","8, Glen Watford Drive, M1S2C8"
"Patty King","Toronto"
"Canyon Creek","Toronto"
"Panagio's",""
"Blooming Garden Chinese Cuisine",""
"Casa Deluz Banquet Hall",""
"Xe Lua",""
"Haidilao Hot Pot","1571, Sandhurst Circle"
"Magic Noodle","1571, Sandhurst Circle"
"Canton Kitchen",""
"Ginger and Onion Cuisine","240, Alton Towers Circle, Scarborough, ON, M1V 4P2"
"Pho Day",""
"New Da Fu Seafood Cuisine",""
"Sumilicious Smoked Meat - Deli","5631, Steeles Avenue East, M1V 5P6"
"Red Rose Garden",""
"Al Dente Italian Restaurant","39, Main Street Markham North, Markham"
"Inspire","144, Main Street Markham North"
"Main's Mansion Restaurant & Bar","144, Main Street Markham North"
"Peter's Dining Steak & Seafood","5701, Highway 7"
"Lemon Bistro","76, Main Street Markham North"
"Osaka Sushi","5762, Highway 7"
"On 7 Bar & Grill",""
"Bombay Grill",""
"Rawlicious",""
"Uncle Joe's Family Restaurant","124, Main Street, Markham, L3P 7T8"
"Liberty Burgers & Wings",""
"Main Sushi","144, Main Street Markham North, Markham, L3P 5T3"
"Nostos Bar & Grill",""
"Merigold Restaurant",""
"Ahmutha Surabi",""
"All-Star Wings & Ribs",""
"St Andrews Fish & Chips",""
"St. Louis Bar & Grill","55, Town Centre Court, Scarborough, M1P 4X4"
"The Roti Hut","351, Pitfield Road, Scarborough, M1S 3E5"
"Kwan Dim Sum",""
"Scaddabush","580, Progress Avenue, Toronto"
"Milestones","Toronto"
"Jack Astor's","580, Progress Avenue, Toronto"
"Babu Catering","4800, Sheppard Avenue East, Scarborough"
"N/A","4810, Sheppard Avenue East, M1S4N6"
"N/A","5210, Finch Avenue East, M1S4Z7"
"Wow! Sushi Japanese Cuisine",""
"India Sweets & Restaurant",""
"Hakka Legend","7393, Markham Road, Markham, Ontario, L3S 0B5"
"Kelsey's",""
"Tangerine Asian Cuisine","7690, Markham Road, Markham"
"Paramount",""
"Mecca Halal Pizza & Wings",""
"Golden China",""
"Maharaja",""
"Kara Mia","7690, Markham Road, Markham, Ontario, L3S 4S1"
"M.Y. Restaurant",""
"Southside Restaurant & Bar",""